Source,Target,Weight
下文,分解,114
下文,未知,86
分解,未知,84
却说,曹操,79
后人,诗赞,52
却说,孔明,52
喊声,大震,48
孔明,玄德,43
却说,商议,35
一声,炮响,34
关兴,张苞,32
背后,赶来,30
却说,玄德,30
曹操,荆州,30
为首,大将,29
右边,左边,28
曹操,许都,28
孔明曰,曹操,28
br,后人,27
一彪,为首,27
玄德,荆州,27
刘备,荆州,27
下文,性命,26
分解,性命,26
喊声,忽然,26
不可,轻敌,26
刘表,荆州,25
商议,曹操,25
东吴,荆州,25
曹操,袁绍,24
上马,披挂,24
未知,胜负,24
下文,胜负,24
分解,胜负,24
商议,文武,24
军马,却说,24
将军,汉中,24
却说,司马懿,24
商议,聚众,23
丞相,将军,23
乐进,李典,23
关公,却说,23
主公,曹操,23
主公,荆州,23
孙权,荆州,23
孔明,汉中,23
关公,荆州,23
孔明,孟获,23
张飞,玄德,22
关公,曹操,22
丞相,何故,22
先生,玄德曰,22
孙权,曹操,22
大喜,孔明,22
丁奉,徐盛,22
后主,孔明,22
--,将军,22
报知,有人,21
两下,夹攻,21
一声,大叫,21
早有,细作,21
却说,周瑜,21
将军,车骑,20
却说,张飞,20
一彪,喊声,20
却说,荆州,20
喊声,背后,20
先锋,前部,20
周泰,韩当,20
却说,孙权,20
之众,百万,20
孔明,荆州,20
却说,姜维,20
两马,相交,19
一声,忽然,19
性命,未知,19
三合,战不,19
二嫂,关公,19
官僚,文武,19
刘备,孙权,19
大震,忽然,19
右上,右下,19
大败,魏兵,19
张嶷,王平,19
廖化,张翼,19
曹操,玄德,18
吕布,曹操,18
玄德,赵云,18
相待,设宴,18
众将,曹操,18
天子,曹操,18
之兵,荆州,18
吕蒙,甘宁,18
商议,荆州,18
庞德,马岱,18
孔明,魏延,18
孔明,祁山,18
下文,毕竟,17
分解,毕竟,17
一彪,忽然,17
将军,曹操,17
刘备,曹操,17
右有,左有,17
二人,商议,17
两阵,出马,17
孙权,江东,17
一彪,大将,17
孔明,端坐,17
回到,孔明,17
曹操,马超,17
后主,成都,17
翻身,落马,16
去路,截住,16
将军,骠骑,16
一人,忽见,16
之策,商议,16
商议,谋士,16
