Label,Weight
曹操,913
孔明,808
将军,739
却说,643
玄德,555
关公,506
丞相,482
二人,473
不可,432
荆州,409
孔明曰,380
不能,379
玄德曰,376
张飞,344
商议,341
主公,320
军士,301
吕布,297
左右,286
军马,286
引兵,271
次日,269
大喜,262
刘备,259
孙权,256
天下,253
赵云,253
云长,249
东吴,244
今日,238
不敢,235
魏兵,231
一人,221
陛下,221
司马懿,220
人马,219
汉中,212
不知,207
都督,206
众将,203
后主,200
只见,197
袁绍,189
蜀兵,188
马超,186
周瑜,185
上马,180
大叫,179
太守,174
魏延,174
先主,173
后人,172
此人,172
天子,171
城中,171
何不,169
背后,169
一面,168
大军,163
忽报,163
何故,162
黄忠,162
br,161
夏侯惇,160
先生,160
先锋,159
夫人,159
诸葛亮,155
姜维,152
赶来,149
原来,146
令人,144
忽然,138
喊声,137
徐州,137
成都,137
下马,136
江东,136
未知,134
百姓,133
大败,133
大事,130
之后,127
不见,127
一军,126
引军,126
马岱,126
起兵,125
进兵,125
接应,124
庞德,122
孟获,122
军中,120
大怒,119
心中,119
刘表,119
许都,119
下文,117
大惊,117
追赶,116
分解,115
一声,115
曹兵,114
董卓,113
分付,113
报知,112
只得,112
粮草,112
三千,112
出马,111
一齐,110
众官,110
回报,109
大将,109
领兵,107
洛阳,106
之兵,106
鲁肃,106
其言,105
之计,105
孙策,105
前面,103
何人,103
精兵,102
城上,102
星夜,101
相见,100
不肯,100
文武,100
准备,99
一日,98
若何,98
而行,98
徐晃,97
关兴,97
出战,96
之中,96
此事,95
亲自,94
兄弟,93
必有,93
立于,93
军师,93
乘势,92
祁山,92
伏兵,91
大王,90
大笑,89
夏侯渊,89
司马昭,89
忽见,88
朝廷,88
王平,87
一彪,86
坚守,86
三军,86
传令,86
襄阳,86
投降,85
分兵,85
首级,85
长安,85
是夜,84
袁术,84
之间,84
西川,84
当先,84
刘璋,84
五百,83
五千,83
必然,83
遣使,83
马下,83
英雄,82
三路,82
无不,82
小路,82
回见,82
诸葛,82
来日,82
吕蒙,82
大将军,81
埋伏,81
将士,81
杀出,81
邓艾,81
众军,80
屯兵,79
有人,79
樊城,79
中原,79
前来,78
望见,78
城外,78
甘宁,78
蛮兵,78
之意,77
下寨,77
本部,77
曹仁,77
两路,77
人报,76
城下,76
出迎,76
武士,76
心腹,76
之言,76
江南,76
奔走,75
一阵,75
交锋,75
四面,75
冀州,74
吴兵,74
当日,73
而出,73
连夜,73
杀入,73
众人,73
城门,73
细作,73
使者,73
入城,72
皇叔,72
张翼,72
许昌,71
先帝,71
兴兵,71
大震,71
两军,70
来到,70
如之奈何,70
慌忙,70
曹洪,70
厮杀,70
之心,70
拜谢,70
饮酒,69
两个,69
陆逊,69
国家,68
岂可,68
掩杀,68
刘玄德,68
父子,68
许褚,68
庞统,68
三人,67
前进,67
为首,67
性命,67
进发,67
谋士,67
昔日,67
此言,66
李典,66
山上,66
曹丕,66
曹真,66
群臣,65
杀来,65
奈何,65
有失,64
廖化,64
孟达,64
江夏,63
玄德大,63
安敢,63
相待,63
数十,63
自有,63
不及,62
何如,62
攻打,62
关平,62
迎接,61
纵马,61
即日,61
使人,61
前部,61
大兵,61
钟会,61
直取,60
死战,60
报仇,60
往来,60
莫非,60
回顾,60
蜀中,60
入帐,59
之上,59
向前,59
中军,59
大寨,59
貂蝉,59
礼毕,59
荀彧,59
太史慈,59
设宴,58
迎敌,58
乃是,58
各引,57
消息,57
勒马,57
黄盖,57
文丑,57
南郡,57
十万,57
新野,57
收拾,56
败走,56
马上,56
刺史,56
至此,56
再三,56
韩当,56
之地,56
蔡瑁,56
张任,56
汉室,55
交战,55
不许,55
不必,55
回到,55
退兵,55
火起,55
郭淮,55
百官,54
厉声,54
五万,54
诗赞,54
后面,54
大半,54
部将,54
拔剑,54
不曾,54
赶到,54
汝二人,54
曹军,54
而入,53
诸侯,53
相助,53
河北,53
旌旗,53
自此,52
方可,52
夹攻,52
大哭,52
当夜,52
正遇,52
须臾,51
无数,51
讨贼,51
不足,51
--,51
今夜,51
手下,51
城池,51
领命,51
吴侯,51
司马师,51
张嶷,51
数日,50
直至,50
胜负,50
围住,50
使君,50
放火,50
刘封,50
丁奉,50
计议,49
前去,49
之众,49
一将,49
孙坚,49
大小,49
社稷,49
太后,49
必为,49
何必,49
每日,49
于禁,49
求救,49
两边,49
张苞,49
一个,48
遥望,48
大骂,48
一计,48
大乱,48
奋力,48
推出,48
之策,48
乐进,48
两下,48
其人,47
而进,47
闻言,47
聚众,47
皇帝,47
号令,47
忠义,47
无人,47
不住,47
收兵,47
之事,47
孙乾,47
早有,47
徐盛,47
杨仪,47
夏侯霸,47
司马,46
早晚,46
阵前,46
之下,46
老夫,46
不想,46
陈宫,46
劫寨,46
追杀,46
公孙瓒,45
副将,45
去路,45
之士,45
伏于,45
正在,45
三日,45
下令,45
炮响,45
死者,45
贾诩,45
某愿,45
糜竺,45
百万,45
火光,45
张昭,45
截住,44
已毕,44
重赏,44
轻敌,44
提兵,44
孔明笑,44
一枝,43
一千,43
到来,43
不到,43
三万,43
兖州,43
挺枪,43
营寨,43
用兵,43
成功,43
不胜,42
自来,42
飞马,42
出城,42
起身,42
四下,42
操大喜,42
马腾,42
生擒,42
不已,42
败军,42
拍马,42
自引,42
官僚,42
审配,42
袁尚,42
维曰,42
闻知,41
回寨,41
部下,41
上表,41
门外,41
孔融,41
将来,41
足下,41
渡江,41
张鲁,41
公曰,41
公子,41
街亭,41
黄巾,40
东南,40
赶上,40
攻城,40
后堂,40
大臣,40
众视,40
安能,40
未尝,40
今若,40
三合,40
来迎,40
山谷,40
黄祖,40
回去,40
操问,40
程昱,40
卧龙,40
曹休,40
姓名,39
四散,39
天明,39
拦住,39
一处,39
不用,39
未及,39
坐于,39
看时,39
父亲,39
太师,39
接入,39
隘口,39
飞报,39
兵来,39
徐庶,39
魏主,39
献帝,38
校尉,38
明日,38
汝南,38
差人,38
平原,38
入见,38
虚实,38
之内,38
贤弟,38
关上,38
匹夫,38
左边,38
方才,38
立马,38
败兵,38
应声,38
听知,38
即时,38
大路,38
车仗,38
雒城,38
魏王,38
南安,38
各处,37
马匹,37
翻身,37
落马,37
得胜,37
钱粮,37
使命,37
时分,37
不忍,37
若得,37
白旗,37
便是,37
吾主,37
冲突,37
大起,37
江边,37
报说,37
不服,37
刘皇叔,37
开门,37
乘虚,37
退去,37
杨奉,37
建安,37
不在,37
益州,37
哨探,37
邓芝,37
斜谷,37
泸水,37
军器,36
军心,36
旗号,36
径取,36
造反,36
大夫,36
宫中,36
锐气,36
士卒,36
吾料,36
刀斧手,36
其事,36
太傅,36
特来,36
呐喊,36
探知,36
收军,36
战船,36
长子,36
拜伏,36
军民,36
二嫂,36
天水,36
马谡,36
魏主曹,36
武侯,36
四方,35
当下,35
数万,35
馆驿,35
良久,35
径到,35
此必,35
幸得,35
山坡,35
乱箭,35
淮南,35
土人,35
周泰,35
曹爽,35
言语,34
不利,34
拨马,34
十余,34
披挂,34
可速,34
安肯,34
寻思,34
救应,34
阵势,34
关云长,34
一时,34
操令,34
赵子龙,34
二子,34
兵到,34
平生,34
断后,34
凌统,34
中郎将,33
再拜,33
三十里,33
兄长,33
印绶,33
司徒,33
近臣,33
郭汜,33
密书,33
城内,33
其意,33
韩遂,33
营中,33
董承,33
荆襄,33
孙夫人,33
参军,33
剑阁,33
木牛流马,33
元年,32
叔父,32
安民,32
青州,32
夺路,32
红旗,32
过去,32
西门,32
侍中,32
之子,32
尚书,32
宗族,32
大呼,32
探听,32
未敢,32
操贼,32
妻子,32
报入,32
其计,32
不出,32
之物,32
回马,32
船上,32
兵马,32
动静,32
自回,32
具言,32
先行,32
子龙,32
前军,32
连日,32
乃谓,32
已知,32
去取,32
诈降,32
诸葛瑾,32
内应,31
混战,31
助战,31
忽闻,31
我军,31
危急,31
会合,31
四海,31
有何,31
小儿,31
行至,31
此去,31
车上,31
一半,31
射中,31
一万,31
船只,31
汉水,31
此计,31
并力,31
