Source,Target,Weight
刘备,曹操,1011
关羽,刘备,467
刘备,荆州,419
曹操,袁绍,411
关羽,曹操,411
反反复复,发发,373
东吴,荆州,350
关羽,张飞,326
刘备,孙权,296
刘备,没有,295
刘备,张飞,271
东吴,刘备,258
一个,刘备,254
江东,鼠辈,254
刘备,吕布,253
吕布,曹操,251
吕布,貂蝉,241
刘备,知道,238
孙权,曹操,233
曹操,知道,233
曹操,没有,232
不会,刘备,231
吕布,董卓,225
关羽,荆州,224
喝喝,水水水,210
刘备,现在,207
其实,刘备,205
丞相,魏延,196
吕布,陈宫,195
一个,曹操,192
不会,曹操,192
凤飞飞,发发,192
刘备,徐州,187
曹操,陈宫,183
刘备,真的,180
义父,吕布,173
可能,曹操,172
曹操,现在,170
仁义,刘备,163
呱呱,组组,161
其实,曹操,156
东吴,曹操,152
刘备,袁绍,151
刘备,百姓,150
一席话,听君,148
一个,关羽,147
刘备,可能,146
刘备,确实,145
刘备,孔明,145
刘备,已经,144
刘备,刘表,144
曹操,真的,143
已经,曹操,141
曹操,荆州,136
丞相,保重,136
东吴,关羽,134
孙权,荆州,132
兄弟,刘备,126
吕布,张飞,126
不能,刘备,125
曹操,肯定,125
刘备,后面,123
一个,没有,123
刘备,魏延,122
七七七,哇哇,120
历史,曹操,119
不能,曹操,117
刘备,直接,117
刘备,历史,116
孙权,孙策,116
曹操,确实,116
刘备,应该,115
刘表,荆州,115
关羽,没有,114
历史,演义,114
刘备,老板,114
刘备,这时候,113
曹操,谋士,112
三生,嘻嘻,112
三世,嘻嘻,112
袁绍,谋士,111
丞相,啊啊啊,111
公瑾,好帅,111
曹操,董卓,110
曹操,直接,110
丞相,司马懿,109
刘备,肯定,108
刘备,觉得,108
三国,没有,108
一月,呀呀,108
以前,现在,107
丞相,刘备,107
徐庶,曹操,106
丞相,没有,105
义父,貂蝉,105
三国,曹操,105
徐州,曹操,105
刘备,刘璋,105
喝喝,杀杀,105
曹操,百姓,104
关羽,孙权,104
曹丕,曹植,104
奸案,建安,104
三国,刘备,103
一直,刘备,103
喜欢,曹操,103
一个,丞相,103
丞相,真的,103
终归,荆州,102
天下,曹操,101
刘备,诸葛,101
飞飞,飞飞飞,100
吼吼,哈哈哈哈,100
三好,吕布,99
吕布,珠宝,99
三好,珠宝,99
三好,貂蝉,99
三好,义父,99
珠宝,貂蝉,99
义父,珠宝,99
一个,两个,98
刘备,当时,98
呀呀,咿呀,98
曹操,觉得,97
应该,曹操,96
曹操,这时候,96
刘备,徐庶,96
发动,技能,94
三国,时期,93
东吴,蜀汉,93
丞相,北伐,93
刘备,天下,92
刘备,本来,91
曹魏,蜀汉,91
刘备,报仇,90
关张,刘备,90
后面,曹操,90
一个,知道,90
吕布,徐州,90
前方,高能,89
丞相,知道,89
曹丕,曹操,89
丞相,姜维,88
刘备,跟着,87
呜呜,哇哇,87
丞相,现在,86
一个,三国,85
不会,关羽,85
东吴,没有,84
感觉,香蕉,84
东吴,鼠辈,84
张飞,马超,84
丞相,马谡,84
东吴,终归,84
孙策,江东,83
拨云见日,茅塞顿开,83
没有,真的,83
北方,曹操,83
东吴,孙权,83
孙策,曹操,82
吕布,没有,82
一个,吕布,82
关羽,知道,82
发发,发发发,82
历史,没有,81
儿子,刘备,80
刘备,喜欢,80
董卓,袁绍,80
关羽,吕布,80
曹操,这种,80
不会,丞相,80
保重,啊啊啊,80
当时,曹操,79
关羽,可能,79
可能,知道,78
刘备,夷陵,77
啊啊啊,晴晴晴,77
水水水,烦烦,77
刘备,汉中,76
曹操,赤壁,76
没有,现在,76
刘备,问题,75
王允,董卓,75
已经,现在,74
三国,张飞,74
刘备,可惜,74
没有,老板,74
手下,曹操,74
一个,老板,74
一个,荆州,74
司马懿,魏延,74
丞相,其实,74
吕布,已经,73
董卓,貂蝉,73
孔明,知道,73
曹操,杨修,73
正史,演义,72
拜拜,爸爸,72
妈妈,密密麻麻,72
可能,没有,71
刘备,真是,71
刘备,只能,71
啊啊啊,好帅,71
一点,没有,70
孙权,江东,70
刘备,谋士,70
感觉,真的,70
三国,吕布,69
真的,老板,69
嘎嘎,尴尬,69
刘备,汉室,69
二爷,荆州,69
东吴,曹魏,69
一个,袁绍,68
一个,真的,68
刘备,这种,68
一个,现在,68
不会,荆州,68
军师,刘备,68
之战,夷陵,67
老板,袁绍,67
刘备,前面,67
一个,东吴,67
三爷,二爷,66
可惜,曹操,66
曹操,老板,66
儿子,曹操,66
蜀国,魏国,66
BGM,四大名著,66
BGM,之后,66
BGM,中国,66
BGM,影视剧,66
BGM,没有,66
BGM,专门,66
BGM,角色,66
BGM,创作,66
BGM,传统,66
BGM,三国,66
BGM,水浒,66
BGM,几个,66
BGM,循环,66
丞相,刘禅,66
现在,知道,65
一个,张飞,65
已经,这时候,65
亮亮,刘备,65
没有,荆州,65
两个,刘备,64
刘备,手下,64
一个,可能,64
关羽,已经,64
没有,魏延,64
关羽,真的,63
张飞,没有,63
刘备,最后,63
其实,已经,63
后来,曹操,63
没有,知道,63
投降,曹操,63
一个,孙权,63
哈哈哈,曹操,63
张飞,曹操,63
司马懿,曹操,63
其实,知道,62
哈哈哈,老板,62
刘备,哈哈哈,62
刘备,后来,62
刘备,西川,62
宝鉴,寿康,62
刘备,英雄,61
文丑,颜良,61
曹操,皇帝,61
知道,老板,61
一直,曹操,61
街亭,马谡,61
丞相,阿斗,61
关羽,其实,60
一起,刘备,60
刘备,正史,60
一条,香蕉,60
真的,香蕉,60
暖言,猫猫,60
三国,第一,59
关羽,现在,59
一个,其实,59
之前,刘备,59
关羽,庞德,59
天子,曹操,59
一个,孔明,59
司马,诸葛,59
只能,曹操,58
已经,没有,58
吕布,知道,58
其实,没有,58
丞相,曹操,58
刘表,曹操,58
丞相,应该,58
刘备,孙尚香,58
复取,荆州,58
其实,袁绍,57
人头,吕布,57
可能,吕布,57
曹操,这是,57
刘备,陈宫,57
刘备,阿斗,57
丞相,可能,57
其实,真的,56
根本,没有,56
曹操,英雄,56
不能,知道,56
亮亮,备备,56
刘备,根本,56
汉中,魏延,56
嘻嘻,收拾,56
变粗,粗粗,56
关羽,后面,55
现在,真的,55
一个,已经,55
三国,真的,55
一个,谋士,55
吕布,袁术,55
刘备,刘禅,55
刘备,投降,55
孔明,曹操,55
火烧,赤壁,55
刘备,演义,54
刘备,感觉,54
曹操,本来,54
三好,人头,54
人头,珠宝,54
人头,貂蝉,54
义父,人头,54
几个,没有,54
哈哈哈,真的,54
其实,应该,54
司马懿,没有,54
火烧,连营,54
二爷,曹操,54
关羽,黄忠,54
之后,没有,53
之后,刘备,53
孙权,没有,53
其实,老板,53
益州,荆州,53
刘备,是因为,53
刘备,马超,52
桃园,结义,52
上帝,视角,52
不会,知道,52
曹操,最后,52
之后,曹操,52
前面,曹操,52
关羽,肯定,52
南郡,荆州,52
曹操,曹植,52
急急,斤斤计较,52
七出,七进,52
东吴,可能,52
司马懿,诸葛,52
亮亮,呜呜,52
偃月,青龙,51
张飞,知道,51
感觉,曹操,51
刘禅,姜维,51
势力,曹操,51
实力,曹操,51
吕布,现在,51
曹操,马超,51
主公,刘备,51
儿子,司马懿,51
刘备,哈哈哈哈,51
司马,司马懿,51
可爱,哈哈哈,50
三国,现在,50
刘备,这是,50
主要,刘备,50
仁德,刘备,50
好帅,真的,50
可能,荆州,50
兄弟,关羽,49
可爱,哈哈哈哈,49
其实,现在,49
主要,曹操,49
没有,确实,49
曹操,起来,49
哈哈哈,巴巴爸爸,49
吕布,袁绍,49
三国,几个,49
应该,知道,49
现在,荆州,49
关羽,老板,49
司马师,司马昭,49
大木,欧拉,49
周郎,好帅,49
小飞,飞飞,49
丞相,孟获,49
刘备,诸葛亮,48
刘备,皇叔,48
可惜,没有,48
不能,现在,48
老板,这时候,48
曹操,问题,48
没有,问题,48
吕布,王允,48
中国,没有,48
后面,没有,48
一个,最后,48
一直,丞相,48
保养,皮肤,48
不要,刘备,48
没有,袁绍,48
一直,荆州,48
奸计,布施,48
呜呜,泪目,48
关羽,大哥,47
不想,刘备,47
一次,刘备,47
一个,不会,47
其实,吕布,47
吕布,真的,47
一个,应该,47
曹操,毕竟,47
知道,肯定,47
三国,角色,47
刘备,想要,47
当年,曹操,47
历史,荆州,47
丞相,觉得,47
本来,荆州,47
张松,曹操,47
之战,刘备,46
三国,之后,46
曹操,根本,46
可能,这种,46
之前,曹操,46
华容道,曹操,46
BGM,用到,46
一个,这是,46
合肥,孙权,46
后面,荆州,46
关羽,吕蒙,46
凤雏,刘备,46
历史,魏延,46
东西,好帅,46
现在,魏延,46
组在,组组,46
宗亲,汉室,45
不行,刘备,45
孙坚,孙权,45
关羽,报仇,45
曹操,机会,45
刘备,起来,45
可能,已经,45
曹操,跟着,45
曹操,真是,45
其实,历史,45
关羽,直接,45
可能,张飞,45
一直,关羽,45
哈哈哈哈,曹操,45
不敢,曹操,45
刘备,陈登,45
之前,现在,45
不了,曹操,45
曹操,江东,45
其实,魏延,45
其实,司马懿,45
东汉,末年,44
刘备,性格,44
关羽,最后,44
确实,老板,44
已经,老板,44
吕布,应该,44
一个,司马,44
夏侯惇,曹操,44
哈哈哈哈,老板,44
三国,历史,44
一个,哈哈哈,44
刘备,子龙,44
刘备,毕竟,44
当如,生子,44
小兵,张飞,44
人才,刘备,44
供应,给与,44
1111111,供应,44
徐庶,母亲,44
知道,诸葛,44
倍速,超超,44
嘟嘟,嘴巴,44
丞相,曹魏,44
司马懿,真的,44
不会,其实,43
哈哈哈哈,真的,43
孙坚,孙策,43
老板,谋士,43
刘备,很多,43
一个,不能,43
吕布,武力,43
吕布,老板,43
不会,没有,43
很多,曹操,43
曹操,统一,43
两个,曹操,43
回合,张飞,43
孙权,知道,43
丞相,关羽,43
司马懿,曹爽,43
已经,荆州,43
一个,司马懿,43
惆怅,擦擦,43
岑长,擦擦,43
呜呜,越来越,43
曹操,演义,42
兄弟,江山,42
历史,知道,42
喜欢,真的,42
没有,直接,42
大汉,忠臣,42
不会,肯定,42
官渡,袁绍,42
多疑,曹操,42
真的,这种,42
三国,知道,42
一个,后面,42
王允,貂蝉,42
一个,三个,42
可能,真的,42
司马,曹操,42
是因为,曹操,42
曹操,赤壁之战,42
不要,曹操,42
曹操,需要,42
可能,有没有,42
一条,感觉,42
三国,水浒,42
可惜,真的,42
刘备,当初,42
不会,东吴,42
当初,荆州,42
演义,魏延,42
oo,呜呜,42
方方,高高,42
喝酒,张飞,41
张飞,徐州,41
刘备,早就,41
下来,刘备,41
关羽,历史,41
估计,刘备,41
已经,知道,41
没有,董卓,41
不会,老板,41
应该,这时候,41
公孙瓒,刘备,41
唱歌,天猫,41
唱歌,精灵,41
一下,曹操,41
三国,中国,41
应该,没有,41
不好,哈哈哈,41
刘备,大汉,41
一个,孙策,41
吕布,陈登,41
荆州,西川,41
丞相,看到,41
丞相,司马,41
刘备,南郡,41
周郎,妙计,41
当道,扎寨,41
袁绍,这时候,40
不想,曹操,40
刘备,孙策,40
曹操,有点,40
二爷,刘备,40
真的,知道,40
荆州,蜀汉,40
其实,荆州,40
大将,魏延,40
刘备,集团,40
丞相,皇叔,40
刘璋,曹操,40
吼吼,哈哈哈,40
不能,东吴,40
司马懿,司马昭,40
下来,东吴,40
吼吼,曹军,40
吼吼,小兵,40
吼吼,哦哦哦,40
哇哇,无为,40
卡卡,快快,40
丞相,天下,39
出师,未捷,39
以后,曹操,39
其实,可能,39
一个,可惜,39
实力,袁绍,39
丁原,吕布,39
估计,曹操,39
现在,老板,39
不能,没有,39
厉害,曹操,39
真的,觉得,39
孔明,徐庶,39
孙仲谋,生子,39
孙仲谋,当如,39
孙权,陆逊,39
刘备,马谡,39
孙权,现在,39
关羽,夏侯惇,39
大军,曹操,39
华佗,曹操,39
司马,曹魏,39
刘备,蜀汉,39
丞相,肯定,39
吴国太,孙权,39
先生,水镜,39
刘备,当年,39
东吴,其实,39
一直,魏延,39
周郎,天下,39
天下,妙计,39
zzzzzzzzzzzzzzzzzzzzz,吱吱,39
一下,刘备,38
刘备,武力,38
三国,关羽,38
关羽,应该,38
出师,身先,38
未捷,身先,38
泪满襟,英雄,38
知道,觉得,38
不会,吕布,38
一直,没有,38
刘备,名声,38
关羽,华佗,38
一个,儿子,38
刘备,拿下,38
哈哈哈哈,啊哈,38
曹操,汉中,38
关羽,演义,38
西凉,马腾,38
三国,职业,38
丞相,已经,38
刘备,蜀国,38
刘备,陆逊,38
一个,魏延,38
东吴,最后,38
正史,魏延,38
先生,放心,38
完结,撒花,38
三郡定,荆州,38
邓艾,钟会,38
大哥,张飞,37
感觉,有点,37
天下,英雄,37
出师,长使,37
出师,英雄,37
出师,泪满襟,37
未捷,长使,37
未捷,英雄,37
未捷,泪满襟,37
身先,长使,37
英雄,身先,37
泪满襟,身先,37
英雄,长使,37
泪满襟,长使,37
袁术,袁绍,37
不会,袁绍,37
一个,唯一,37
一个,历史,37
现在,袁绍,37
吕布,这时候,37
三国,英雄,37
中国,几个,37
情况,这种,37
丞相,历史,37
应该,现在,37
三国,整个,37
关羽,后来,37
几个,角色,37
徐州,百姓,37
吕布,马超,37
不会,孙策,37
刘备,重要,37
刘备,益州,37
天下,荆州,37
丞相,后面,37
丞相,感觉,37
江东,荆州,37
亮亮,知道,37
其实,孔明,37
司马懿,知道,37
司马懿,曹真,37
哈哈哈,张飞,36
刘备,实力,36
丞相,英雄,36
三国,感觉,36
一个,董卓,36
一个,喜欢,36
一个,这种,36
一个,直接,36
没有,角色,36
奇妙,香蕉,36
不好,刘备,36
几个,刘备,36
刘备,将军,36
不能,关羽,36
关羽,投降,36
宝宝,灌灌,36
百姓,荆州,36
没有,蜀汉,36
重用,魏延,36
张飞,真的,35
刘备,皇帝,35
没有,演义,35
刘备,有点,35
兴复,汉室,35
现在,觉得,35
刘备,能力,35
刘备,前期,35
不能,吕布,35
吴国,蜀国,35
后面,吕布,35
办法,曹操,35
刘备,刘邦,35
丞相,亮亮,35
不了,刘备,35
想到,曹操,35
吕布,女儿,35
历史,可能,35
三国,四大名著,35
不住,刘备,35
是不是,曹操,35
不会,真的,35
徐州,荆州,35
东吴,投降,35
关羽,确实,35
刘禅,没有,35
其实,孙权,35
司马,曹家,35
一个,皇帝,35
一个,诸葛,35
东吴,合肥,35
东吴,真的,35
将军,黄老,35
曹植,杨修,35
刘禅,皇帝,35
老师,陆树铭,34
其实,确实,34
哈哈哈,现在,34
丞相,可惜,34
当年,现在,34
刘备,厉害,34
夏侯,曹操,34
没有,谋士,34
前面,吕布,34
吕布,确实,34
一个,确实,34
刘备,黄忠,34
张飞,注意,34
十万,合肥,34
不能,只能,34
实际上,曹操,34
下来,荆州,34
中国,四大名著,34
四大名著,没有,34
四大名著,角色,34
中国,传统,34
中国,循环,34
影视剧,没有,34
创作,没有,34
传统,没有,34
水浒,没有,34
循环,没有,34
三国,创作,34
三国,传统,34
几个,水浒,34
前面,现在,34
一个,徐庶,34
关羽,华容道,34
两个,儿子,34
关系,刘备,34
可能,老板,34
徐州,陈登,34
哈哈哈,平生,34
丞相,这种,34
不能,丞相,34
货狗,货狗货,34
复兴,汉室,34
张飞,魏延,34
孔明,没有,34
北伐,蜀汉,34
北伐,姜维,34
吞吞吐吐,哦哦哦,34
掌握,荆州,34
曹魏,荆州,34
出场,男神,34
诸葛,魏延,34
可能,魏延,34
刘备,曹丕,34
咕咕,玉不琢,34
不成器,咕咕,34
人不学,咕咕,34
不知,咕咕,34
张飞,现在,33
其实,董卓,33
刘备,武将,33
一直,其实,33
其实,问题,33
应该,觉得,33
已经,袁绍,33
曹操,能力,33
没有,这种,33
曹操,汉献帝,33
丞相,确实,33
老板,陈宫,33
是不是,知道,33
关羽,后期,33
孙策,袁术,33
刘备,绝对,33
一个,地方,33
之后,四大名著,33
四大名著,影视剧,33
专门,四大名著,33
创作,四大名著,33
传统,四大名著,33
四大名著,水浒,33
几个,四大名著,33
四大名著,循环,33
中国,之后,33
之后,影视剧,33
专门,之后,33
之后,角色,33
之后,创作,33
之后,传统,33
之后,水浒,33
之后,几个,33
之后,循环,33
中国,影视剧,33
专门,中国,33
中国,角色,33
中国,创作,33
中国,水浒,33
专门,影视剧,33
