,Label,Weight
0,刘备,5309
1,曹操,4835
2,一个,2340
3,关羽,2191
4,丞相,2164
5,没有,2028
6,吕布,1637
7,知道,1633
8,老板,1509
9,现在,1489
10,真的,1459
11,荆州,1303
12,三国,1294
13,其实,1283
14,张飞,1250
15,东吴,1180
16,孙权,1127
17,司马懿,1100
18,袁绍,1079
19,可能,1024
20,不会,1019
21,,998
22,已经,976
23,不能,918
24,历史,888
25,魏延,870
26,应该,862
27,孔明,854
28,确实,800
29,直接,792
30,孙策,662
31,二爷,653
32,亮亮,651
33,董卓,649
34,诸葛,638
35,觉得,633
36,后面,631
37,刘禅,612
38,这种,610
39,肯定,609
40,可惜,559
41,天下,550
42,将军,547
43,一直,536
44,最后,535
45,蜀汉,523
46,问题,516
47,这时候,516
48,前面,511
49,感觉,509
50,司马,487
51,百姓,486
52,这是,485
53,姜维,468
54,兄弟,465
55,皇帝,461
56,本来,458
57,当时,454
58,真是,452
59,两个,446
60,不要,446
61,谋士,440
62,阿斗,435
63,喜欢,425
64,马超,425
65,只能,420
66,不行,414
67,马谡,405
68,儿子,404
69,演义,399
70,徐庶,398
71,子龙,398
72,一下,393
73,蜀国,387
74,英雄,383
75,曹丕,382
76,主公,380
77,江东,380
78,徐州,374
79,投降,372
80,小兵,371
81,后来,368
82,北伐,365
83,曹魏,364
84,当年,360
85,看到,356
86,演员,353
87,之前,353
88,厉害,353
89,之后,348
90,陈宫,344
91,根本,342
92,有点,336
93,一点,333
94,一起,333
95,啊啊啊,333
96,古代,332
97,几个,327
98,备备,326
99,鲁肃,323
100,主要,320
101,起来,320
102,不了,317
103,军师,312
104,是不是,309
105,魏国,308
106,很多,298
107,一定,296
108,是因为,296
109,不好,296
110,嘟嘟,294
111,打仗,293
112,老师,290
113,皇叔,290
114,一次,290
115,不敢,288
116,司马昭,288
117,正史,285
118,后期,282
119,能力,281
120,貂蝉,279
121,好像,273
122,手下,272
123,以后,271
124,估计,266
125,关张,265
126,汉室,263
127,不用,261
128,孟获,261
129,仁义,257
130,机会,255
131,为啥,255
132,成功,255
133,关系,252
134,人才,252
135,三国演义,251
136,大将,251
137,黄忠,251
138,陆逊,250
139,武将,248
140,回去,248
141,意思,247
142,赤壁,246
143,刘表,246
144,以前,239
145,下来,238
146,飞飞,237
147,毕竟,236
148,回来,229
149,看看,228
150,曹植,226
151,华佗,225
152,不想,224
153,doge,223
154,大哥,223
155,汉中,222
156,地方,222
157,一句,218
158,说话,218
159,大军,216
160,早就,214
161,重要,213
162,办法,213
163,想到,212
164,十万,211
165,有人,211
166,诸葛亮,209
167,原著,209
168,武力,209
169,突然,207
170,跟着,207
171,鼠辈,206
172,时间,205
173,性格,202
174,当初,202
175,过来,201
176,需要,199
177,时期,198
178,里面,197
179,杨修,196
180,不可,195
181,好好,194
182,刘璋,194
183,正常,193
184,聪明,192
185,实力,190
186,没想到,189
187,大汉,188
188,第一,188
189,不到,187
190,不错,187
191,完全,187
192,三个,186
193,报仇,184
194,年轻,182
195,计谋,182
196,说明,181
197,先生,181
198,明白,179
199,袁术,179
200,容易,179
201,公瑾,177
202,个人,176
203,发现,175
204,统一,175
205,士兵,175
206,算是,174
207,东西,173
208,非常,172
209,中原,169
210,呜呜,167
211,夏侯惇,165
212,火烧,164
213,夷陵,163
214,忠臣,161
215,小人,160
216,拿下,160
217,故意,159
218,不在,159
219,身边,158
220,孙坚,158
221,对面,158
222,绝对,157
223,失败,157
224,乱世,156
225,天子,156
226,过去,155
227,注意,154
228,唯一,154
229,西川,154
230,粮草,154
231,今天,153
232,必须,153
233,中国,152
234,那种,152
235,居然,152
236,三国志,151
237,吴国,151
238,云长,151
239,电视剧,150
240,北方,150
241,街亭,150
242,一辈子,148
243,原来,148
244,技能,147
245,原因,147
246,先帝,147
247,真正,147
248,理解,147
249,大事,146
250,看着,146
251,10,145
252,随便,145
253,这句,145
254,告诉,145
